id,lat,lon,operator,amenity,atm,tourism
57869,39.94974,-75.17314,,,,artwork
57870,39.95112,-75.15979,,,,hotel
57871,39.949936,-75.173645,,spa,,
57872,39.95006,-75.17311,,restaurant,,
57873,39.949917,-75.17305,,restaurant,,
57874,39.950035,-75.17321,,bar,,
57875,39.949997,-75.17305,,bar,,
57876,39.950058,-75.17297,,restaurant,,
57877,39.952633,-75.17135,,restaurant,,
57878,39.953568,-75.162285,,,,museum
57879,39.95374,-75.162254,,archives,,
57953,39.986385,-75.155945,,atm,,
57954,39.977303,-75.18474,Atelier Fine Art Services,,,
57955,39.96924,-75.13456,,bar,,
57969,39.98766,-75.152565,atm express,atm,,
57977,39.988235,-75.15601,,cafe,,
57978,39.988194,-75.15602,,pharmacy,,
58705,39.94848,-75.16423,,restaurant,,
58706,39.949184,-75.163925,University of the Arts,arts_centre,,
58707,39.949116,-75.163826,University of the Arts,theatre,,
58708,39.949066,-75.16383,University of the Arts,theatre,,
58709,39.943256,-75.16529,University of the Arts,theatre,,
58710,39.945133,-75.16459,University of the Arts,theatre,,
58711,39.945145,-75.164696,University of the Arts,theatre,,
58712,39.947323,-75.1569,,bicycle_rental,,
58713,39.9503,-75.15139,,fountain,,
58714,39.95026,-75.1514,,parking_entrance,,
58715,39.95045,-75.15241,Free Library of Philadelphia,library,,
58717,39.950203,-75.1579,,,,artwork
58718,39.95136,-75.15664,,fast_food,,
58719,39.949886,-75.15696,Bank of America,bank,,
58720,39.952965,-75.14815,,,,attraction
58721,39.95145,-75.161354,,,,artwork
58722,39.951214,-75.18046,,,,artwork
58725,39.95298,-75.17077,,cafe,,
58726,39.95311,-75.17075,,bank,yes,
58727,39.95285,-75.170784,,dentist,,
58728,39.95284,-75.1713,,parking,,
58729,39.95302,-75.17127,WSFS Bank,bank,yes,
58730,39.952248,-75.16829,,bar,,
58731,39.952297,-75.168015,,fast_food,,
58742,39.95235,-75.16837,,fast_food,,
58743,39.952606,-75.16839,Montparnasse 56,,,attraction
58744,39.952316,-75.1683,,food_court,,
58746,39.95119,-75.167336,,bank,,
58747,39.95334,-75.15886,,restaurant,,
58748,39.95325,-75.15931,,restaurant,,
58749,39.953465,-75.15939,,restaurant,,
58750,39.953697,-75.159355,,restaurant,,
58751,39.95368,-75.15924,,restaurant,,
58752,39.95305,-75.15948,,restaurant,,
58753,39.95363,-75.15881,,fast_food,,
58755,39.95348,-75.15884,,fast_food,,
58756,39.953617,-75.15937,,restaurant,,
58757,39.95334,-75.159424,,restaurant,,
58758,39.953266,-75.158875,,marketplace,,
58759,39.953403,-75.15885,,restaurant,,
58760,39.953606,-75.15925,,fast_food,,
58761,39.95303,-75.15935,,restaurant,,
58762,39.953457,-75.15928,,restaurant,,
58763,39.953526,-75.15926,,restaurant,,
58764,39.9534,-75.159294,,fast_food,,
58765,39.953323,-75.159294,,fast_food,,
58766,39.953114,-75.159325,,restaurant,,
58767,39.95332,-75.1592,,ice_cream,,
58781,39.9523,-75.16838,,fast_food,,
58782,39.952286,-75.168236,,fast_food,,
58783,39.95224,-75.16789,,fast_food,,
58784,39.952168,-75.167816,,fast_food,,
58791,39.953396,-75.15873,,fast_food,,
58792,39.953014,-75.159424,,,,information
58800,39.94953,-75.152466,Old Nelson Food Co.,,,
59081,39.98287,-75.15554,,bicycle_repair_station,,
59290,39.95537,-75.16318,,,,artwork
59291,39.95544,-75.16374,,,,artwork
59342,39.950027,-75.16898,,bank,,
59344,39.950027,-75.16893,,cafe,,
59345,39.950123,-75.16759,,bank,,
59346,39.950207,-75.16732,Bank of America,atm,,
59351,39.949993,-75.16801,,,,gallery
59355,39.949978,-75.16853,,restaurant,,
59356,39.949837,-75.16901,,bank,,
59357,39.949863,-75.169235,,bank,,
59361,39.949795,-75.168594,,bank,,
59363,39.95022,-75.16721,,,,gallery
59365,39.950462,-75.16747,,restaurant,,
59366,39.950573,-75.16723,,fast_food,,
59367,39.95057,-75.16841,,school,,
59368,39.950375,-75.1675,,restaurant,,
59369,39.950245,-75.167534,,restaurant,,
59370,39.94963,-75.16724,,fast_food,,
59373,39.96947,-75.20689,,place_of_worship,,
59374,39.966534,-75.17985,,,,artwork
59414,39.96233,-75.14754,,,,apartment
59428,39.946873,-75.18641,,bench,,
59429,39.946888,-75.18639,,bench,,
59430,39.946915,-75.18636,,bench,,
59431,39.947765,-75.185165,,bench,,
59432,39.947784,-75.18514,,bench,,
59433,39.9478,-75.18513,,bench,,
59434,39.94867,-75.18395,,bench,,
59435,39.948692,-75.183914,,bench,,
59436,39.948704,-75.1839,,bench,,
59437,39.948727,-75.18387,,bench,,
59438,39.949463,-75.18303,,bench,,
59439,39.94949,-75.18301,,bench,,
59440,39.949505,-75.18298,,bench,,
59441,39.949528,-75.18296,,bench,,
59460,39.953968,-75.21742,,place_of_worship,,
59466,39.95256,-75.21751,,atm,,
59491,39.955414,-75.21161,,fast_food,,
59498,39.978706,-75.15366,,fast_food,,
59507,39.948883,-75.15978,,restaurant,,
59680,39.952496,-75.171585,,,,hotel
59748,39.95391,-75.143036,,cafe,,
59765,39.93703,-75.15032,Bicycle Transit Systems,bicycle_rental,,
59766,39.934006,-75.15096,Bicycle Transit Systems,bicycle_rental,,
59767,39.927864,-75.151,Bicycle Transit Systems,bicycle_rental,,
59826,39.97802,-75.1599,,leasing_office,,
59827,39.980377,-75.15013,,mailroom,,
59862,39.96733,-75.12937,,fast_food,,
59863,39.972267,-75.12563,,fast_food,,
59899,39.954315,-75.14629,,restaurant,,
59905,39.987602,-75.12929,,kindergarten,,
59906,39.97333,-75.1386,,place_of_worship,,
59907,39.973328,-75.138885,,school,,
59940,39.98329,-75.170395,,place_of_worship,,
59941,39.983196,-75.17178,,community_centre,,
59942,39.983116,-75.17169,,social_facility,,
59943,39.983383,-75.17128,,shelter,,
59944,39.9849,-75.16925,,place_of_worship,,
59945,39.985317,-75.169106,,kindergarten,,
59946,39.98408,-75.16436,,place_of_worship,,
59948,39.985924,-75.16326,,place_of_worship,,
59949,39.986256,-75.167076,,place_of_worship,,
59950,39.98652,-75.168495,,place_of_worship,,
59951,39.990307,-75.16372,,place_of_worship,,
59952,39.988926,-75.164925,,childcare,,
59953,39.989464,-75.16546,,place_of_worship,,
59954,39.99029,-75.16177,,place_of_worship,,
59955,39.98991,-75.16058,,place_of_worship,,
59956,39.987095,-75.16434,,place_of_worship,,
59957,39.987537,-75.16427,,place_of_worship,,
59958,39.986916,-75.161964,,place_of_worship,,
59959,39.985817,-75.13895,,place_of_worship,,
59960,39.988705,-75.15889,,place_of_worship,,
59961,39.988117,-75.15654,,place_of_worship,,
59962,39.988407,-75.15922,,place_of_worship,,
59963,39.989388,-75.15634,,place_of_worship,,
59974,39.930637,-75.14813,,,,artwork
59975,39.930622,-75.14813,,,,artwork
59976,39.933567,-75.19388,,vending_machine,,
59977,39.933556,-75.19388,,waste_basket,,
59996,40.006966,-75.15643,,place_of_worship,,
60025,39.99155,-75.15532,,clinic,,
60026,39.993237,-75.156555,,place_of_worship,,
60048,39.953068,-75.19098,,mailroom,,
60049,39.95244,-75.20017,,mailroom,,
60050,39.953045,-75.19046,,lockers,,
60051,39.9543,-75.1949,,lockers,,
60052,39.95049,-75.19699,,lockers,,
60053,39.9543,-75.19392,,lockers,,
60054,39.951378,-75.19838,,loading_dock,,
60149,39.952152,-75.175606,,restaurant,,
60150,39.952465,-75.17038,,restaurant,,
60152,39.95219,-75.17567,,restaurant,,
60196,40.001823,-75.2088,,bench,,
60228,39.98308,-75.14737,,bench,,
60264,39.968697,-75.22073,United States Postal Service,post_box,,
60265,39.962803,-75.21488,,,,artwork
60279,39.978172,-75.15922,,bicycle_parking,,
60334,39.978817,-75.15941,Wells Fargo,atm,,
60356,40.009434,-75.19658,,bank,separate,
60486,39.996685,-75.18414,,bench,,
60487,39.996746,-75.18403,,bench,,
60488,39.996548,-75.18325,,bench,,
60489,39.996372,-75.18309,,bench,,
60494,39.99108,-75.18842,,bench,,
60495,39.990417,-75.18803,,bench,,
60496,39.990856,-75.18849,,bench,,
60681,39.950027,-75.16205,,restaurant,,
60683,39.958,-75.19078,,bicycle_repair_station,,
60711,39.959896,-75.22299,,atm,,
60712,39.957935,-75.20446,TD Ameritrade,atm,,
60713,39.95782,-75.20408,,parcel_locker,,
60714,39.955814,-75.2024,,bank,yes,
60858,39.91406,-75.1449,,post_office,,
60893,39.949898,-75.1483,,ice_cream,,
61004,39.97878,-75.15926,,restaurant,,
61005,39.978786,-75.15933,,restaurant,,
61006,39.97906,-75.160034,,fast_food,,
61298,39.976078,-75.157135,,cafe,,
61301,39.97615,-75.15711,,doctors,,
61303,39.976295,-75.157074,,pharmacy,,
61322,39.980553,-75.15781,,recycling,,
61440,39.9998,-75.19037,,bench,,
61482,39.955463,-75.18186,,fast_food,,
61484,40.009304,-75.21187,,restaurant,,
61519,40.006332,-75.14073,,cafe,,
61569,39.917427,-75.14099,Blink,charging_station,,
61570,39.927002,-75.14541,Blink,charging_station,,
61572,39.932915,-75.14391,Electrify America,charging_station,,
61653,39.92542,-75.159874,,bar,,
61671,39.974022,-75.17871,United States Postal Service,post_box,,
61672,39.97444,-75.18359,United States Postal Service,post_box,,
61674,39.948284,-75.21353,,bicycle_parking,,
61748,39.97611,-75.1383,,restaurant,,
61755,39.95165,-75.15611,,cafe,,
61771,39.951275,-75.167946,,fast_food,,
61794,39.949024,-75.1925,,,,artwork
61827,39.944443,-75.21857,,school,,
61881,39.939236,-75.19782,,fuel,,
61883,39.9555,-75.18195,,fast_food,,
61884,39.955177,-75.18225,Wells Fargo,atm,,
61885,39.955585,-75.18212,,fast_food,,
61886,39.95565,-75.18208,,fast_food,,
61887,39.955517,-75.18183,,fast_food,,
61888,39.9554,-75.18194,,cafe,,
61889,39.95554,-75.18189,,cafe,,
61890,39.95552,-75.182144,,fast_food,,
61892,39.955444,-75.18201,,food_court,,
61893,39.955643,-75.18197,,fast_food,,
61894,39.955334,-75.18186,United States Postal Service,post_office,,
61895,39.941715,-75.15661,,,,artwork
61896,39.942425,-75.15666,,,,artwork
62115,39.94972,-75.16547,,clinic,,
62361,39.974632,-75.182915,,cafe,,
62362,39.97463,-75.182846,,restaurant,,
62363,39.974586,-75.182594,,restaurant,,
62365,39.974575,-75.182465,,restaurant,,
62366,39.974594,-75.182655,,events_venue,,
62369,39.974514,-75.18196,,restaurant,,
62392,39.97275,-75.17898,,restaurant,,
62393,39.972572,-75.179276,,cafe,,
62451,39.967384,-75.17039,Fairmount Hardware,,,
62453,39.967125,-75.17041,,ice_cream,,
62454,39.967327,-75.17,,bicycle_parking,,
62455,39.967323,-75.16989,,bicycle_parking,,
62465,39.94649,-75.15791,,restaurant,,
62466,39.974247,-75.18205,,restaurant,,
62467,39.97431,-75.182526,,restaurant,,
62478,39.966824,-75.16009,,cafe,,
62479,39.94851,-75.14392,,cafe,,
62480,39.93404,-75.16601,,cafe,,
62481,39.95477,-75.17015,,cafe,,
62659,39.940296,-75.172874,United States Postal Service,post_box,,
62669,39.94249,-75.1793,United States Postal Service,post_box,,
62670,39.946182,-75.17832,,waste_basket,,
62671,39.942352,-75.17928,,waste_basket,,
62697,39.93918,-75.149826,,post_box,,
62716,39.966843,-75.12864,,,,artwork
62717,39.966785,-75.12941,,,,artwork
62718,39.971687,-75.13491,,,,hotel
62719,39.971962,-75.13543,,restaurant,,
62720,39.96607,-75.13827,,restaurant,,
62721,39.966,-75.13812,,bar,,
62722,39.969772,-75.13962,,,,artwork
62726,39.97428,-75.180176,,pub,,
62727,39.9743,-75.18029,,restaurant,,
62728,39.97423,-75.17972,,pharmacy,,
62730,39.97944,-75.12323,,place_of_worship,,
